Player,Team,Salary
JaVale McGee,DAL,"$2,208,856 "
Jeremiah Robinson-Earl,NOP,"$2,196,970 "
Lindy Waters III,DET,"$2,196,970 "
Dalano Banton,POR,"$2,196,970 "
Sam Merrill,CLE,"$2,164,993 "
Duane Washington Jr.,CHO,"$2,162,607 "
Luka Garza,MIN,"$2,162,606 "
Keon Johnson,BRK,"$2,162,606 "
Neemias Queta,BOS,"$2,162,606 "
Vit Krejci,ATL,"$2,162,606 "
Vince Williams Jr.,MEM,"$2,120,693 "
Colby Jones,WAS,"$2,120,693 "
Keon Ellis,SAC,"$2,120,693 "
A.J. Green,MIL,"$2,120,693 "
Sam Hauser,BOS,"$2,092,344 "
Jericho Sims,MIL,"$2,092,344 "
Jay Huff,MEM,"$2,088,033 "
Tyler Kolek,NYK,"$2,087,519 "
Scotty Pippen Jr.,MEM,"$2,087,519 "
Reggie Jackson,WAS,"$4,033,748 "
Alex Len,WAS,"$2,831,348 "
Mo Bamba,UTA,"$2,207,491 "
Garrett Temple,TOR,"$2,087,519 "
Charles Bassey,SAS,"$2,087,519 "
Jordan McLaughlin,SAS,"$2,087,519 "
Sandro Mamukelashvili,SAS,"$2,087,519 "
Doug McDermott,SAC,"$2,087,519 "
Tyus Jones,PHO,"$2,087,519 "
Bol Bol,PHO,"$2,087,519 "
Monte Morris,PHO,"$2,087,519 "
Mason Plumlee,PHO,"$2,087,519 "
Damion Lee,PHO,"$2,087,519 "
Guerschon Yabusele,PHI,"$2,087,519 "
Kyle Lowry,PHI,"$2,087,519 "
Daniel Theis,OKC,"$2,087,519 "
Cameron Payne,NYK,"$2,087,519 "
Delon Wright,NYK,"$2,087,519 "
Joe Ingles,MIN,"$2,087,519 "
Gary Trent Jr.,MIL,"$2,087,519 "
Taurean Prince,MIL,"$2,087,519 "
Alec Burks,MIA,"$2,087,519 "
Markieff Morris,LAL,"$2,087,519 "
Patty Mills,LAC,"$2,087,519 "
James Johnson,IND,"$2,087,519 "
Thomas Bryant,IND,"$2,087,519 "
DeAndre Jordan,DEN,"$2,087,519 "
Vlatko Cancar,DEN,"$2,087,519 "
Spencer Dinwiddie,DAL,"$2,087,519 "
Tristan Thompson,CLE,"$2,087,519 "
Seth Curry,CHO,"$2,087,519 "
Taj Gibson,CHO,"$2,087,519 "
Talen Horton-Tucker,CHI,"$2,087,519 "
Luke Kornet,BOS,"$2,087,519 "
Duop Reath,POR,"$2,048,780 "
Andrew Nembhard,IND,"$2,019,699 "
Jaden Hardy,DAL,"$2,019,699 "
Jabari Walker,POR,"$2,019,699 "
Caleb Houstan,ORL,"$2,019,699 "
Jaylin Williams,OKC,"$2,019,699 "
Josh Minott,MIN,"$2,019,699 "
Kennedy Chandler,MEM,"$2,019,699 "
Jose Alvarado,NOP,"$1,988,598 "
Reggie Jackson,CHO,"$4,033,748 "
Ricky Council IV,PHI,"$1,891,857 "
GG Jackson II,MEM,"$1,891,857 "
Jalen Pickett,DEN,"$1,891,857 "
Hunter Tyson,DEN,"$1,891,857 "
Julian Phillips,CHI,"$1,891,857 "
Jordan Walsh,BOS,"$1,891,857 "
Sidy Cissoko,WAS,"$1,891,857 "
Toumani Camara,POR,"$1,891,857 "
Rayan Rupert,POR,"$1,891,857 "
Leonard Miller,MIN,"$1,891,857 "
Chris Livingston,MIL,"$1,891,857 "
Andre Jackson Jr.,MIL,"$1,891,857 "
Trayce Jackson-Davis,GSW,"$1,891,857 "
Gui Santos,GSW,"$1,891,857 "
Craig Porter Jr.,CLE,"$1,891,857 "
Maxwell Lewis,BRK,"$1,891,857 "
Jalen Wilson,BRK,"$1,891,857 "
Mouhamed Gueye,ATL,"$1,891,857 "
Jonathan Mogbo,TOR,"$1,862,265 "
Jamal Shead,TOR,"$1,862,265 "
Johnny Furphy,IND,"$1,850,842 "
Pacome Dadiet,NYK,"$1,808,080 "
Justin Champagnie,WAS,"$1,800,000 "
Javonte Green,NOP,"$2,328,350 "
Jae Crowder,SAC,"$1,655,619 "
Paul Reed,DET,"$3,913,234 "
Karlo Matkovic,NOP,"$1,407,153 "
Landry Shamet,NYK,"$1,343,690 "
Eric Bledsoe,POR,"$1,300,000 "
Bobi Klintman,DET,"$1,257,153 "
Tyler Smith,MIL,"$1,157,153 "
Oso Ighodaro,PHO,"$1,157,153 "
Jaylen Wells,MEM,"$1,157,153 "
Bronny James,LAL,"$1,157,153 "
Cam Christie,LAC,"$1,157,153 "
Adem Bona,PHI,"$1,157,153 "
Antonio Reeves,NOP,"$1,157,153 "
Pelle Larsson,MIA,"$1,157,153 "
Bruno Fernando,TOR,"$1,115,128 "
Ariel Hukporti,NYK,"$1,064,049 "
PJ Dozier,MIN,"$1,051,255 "
Jordan Miller,LAC,"$1,050,000 "
Jamison Battle,TOR,"$1,000,000 "
Kevin Porter Jr.,OKC,"$3,366,937 "
Joshua Primo,LAC,"$1,000,000 "
Orlando Robinson,SAC,"$1,691,610 "
Moussa Diabate,CHO,"$957,763 "
Lonnie Walker IV,PHI,"$780,932 "
Torrey Craig,BOS,"$3,625,162 "
Ben Simmons,LAC,"$40,011,909 "
Jared Butler,PHI,"$745,726 "
Alex Len,LAL,"$2,831,348 "
Markelle Fultz,SAC,"$731,831 "
Keshad Johnson,MIA,"$724,883 "
E.J. Liddell,PHO,"$706,898 "
Nik Stauskas,IND,"$702,310 "
Tyrese Martin,BRK,"$635,853 "
Jaden Springer,UTA,"$4,772,772 "
Matt Ryan,NYK,"$621,439 "
Ryan Rollins,WAS,"$1,091,887 "
Javonte Green,CLE,"$2,328,350 "
Brandon Boston Jr.,NOP,"$596,581 "
Juwan Morgan,IND,"$576,229 "
Malik Fitts,IND,"$555,216 "
Jeenathan Williams,HOU,"$515,881 "
Bismack Biyombo,SAS,"$647,851 "
Jaylen Clark,MIN,"$492,323 "
Dominick Barlow,ATL,"$491,887 "
Orlando Robinson,TOR,"$1,691,610 "
Ryan Rollins,MIL,"$1,091,887 "
Mamadi Diakite,MEM,"$464,050 "
Quinten Post,GSW,"$438,920 "
Pat Spencer,GSW,"$438,810 "
Justin Edwards,PHI,"$425,619 "
Ricky Rubio,CLE,"$424,672 "
Lamar Stevens,MEM,"$623,856 "
Branden Carlson,OKC,"$496,519 "
Tony Bradley,IND,"$600,545 "
Moses Brown,IND,"$426,632 "
Jaylen Nowell,NOP,"$446,743 "
Elfrid Payton,NOP,"$789,048 "
Didi Louzada,POR,"$268,032 "
Kevin Knox,GSW,"$503,883 "
AJ Griffin,HOU,"$250,000 "
P.J. Tucker,NYK,"$12,025,777 "
Jordan Goodwin,LAL,"$223,718 "
Jaylen Nowell,WAS,"$446,743 "
Isaac Jones,SAC,"$152,957 "
Tony Bradley,IND,"$600,545 "
Bismack Biyombo,SAS,"$647,851 "
Bismack Biyombo,SAS,"$647,851 "
Malevy Leons,OKC,"$126,356 "
Jaden Springer,UTA,"$4,772,772 "
Orlando Robinson,TOR,"$1,691,610 "
Orlando Robinson,TOR,"$1,691,610 "
Lamar Stevens,MEM,"$623,856 "
Lamar Stevens,MEM,"$623,856 "
Tony Bradley,IND,"$600,545 "
Elfrid Payton,NOP,"$789,048 "
Elfrid Payton,NOP,"$789,048 "
Kevin Knox,GSW,"$503,883 "
Kevin Knox,GSW,"$503,883 "
P.J. Tucker,NYK,"$12,025,777 "
P.J. Tucker,NYK,"$12,025,777 "
Chuma Okeke,PHI,"$355,687 "
Chuma Okeke,PHI,"$355,687 "
Elfrid Payton,CHO,"$789,048 "
Elfrid Payton,CHO,"$789,048 "
Cole Swider,TOR,"$227,947 "
Jalen McDaniels,WAS,"$4,861,772 "
Jared Rhoden,TOR,"$119,972 "
Eugene Omoruyi,TOR,"$119,972 "
Terry Taylor,SAC,"$119,972 "
Skal Labissiere,SAC,"$119,972 "
Daishen Nix,SAC,"$119,972 "
Oshae Brissett,PHI,"$119,972 "
David Roddy,PHI,"$2,967,212 "
Mo Bamba,NOP,"$2,207,491 "
Jahlil Okafor,IND,"$119,972 "
Moses Brown,DAL,"$426,632 "
Malachi Flynn,CHO,"$119,972 "
Killian Hayes,BRK,"$119,972 "
Kevon Harris,ATL,"$119,972 "
Chuma Okeke,CLE,"$355,687 "
Drew Timme,BRK,"$113,055 "
Cole Swider,TOR,"$227,947 "
Colin Castleton,TOR,"$421,081 "
Colin Castleton,TOR,"$421,081 "
Colin Castleton,PHI,"$421,081 "
Marcus Garrett,CHO,"$107,027 "
Colin Castleton,TOR,"$421,081 "
Javon Freeman-Liberty,TOR,"$100,000 "
A.J. Lawson,TOR,"$100,000 "
Marcus Bagley,PHI,"$126,356 "
Kylor Kelley,NOP,"$73,153 "
Jaylen Sims,CHO,"$73,153 "
Erik Stevenson,WAS,"$66,503 "
Phillip Wheeler,PHI,"$66,503 "
Yuri Collins,GSW,"$66,503 "
Nae'Qwan Tomlin,CLE,"$66,503 "
Branden Carlson,OKC,"$496,519 "
Branden Carlson,OKC,"$496,519 "
Terence Davis,SAC,"$64,301 "
Marcus Bagley,PHI,"$126,356 "
Brandon Williams,DAL,"$47,989 "
Javante McCoy,DET,"$47,265 "
Elfrid Payton,NOP,"$789,048 "
Isaiah Mobley,PHI,"$11,997 "
Braxton Key,GSW,"$11,997 "
JD Davison,BOS,"$11,997 "
Kylor Kelley,NOP,"$73,153 "
Jaylen Sims,CHO,"$73,153 "
