player_id,name,team,salary,age,impact_now,years_left
1628379,Luke Kennard,MEM,9250000.0,29.0,1.54,2.6
1628380,Zach Collins,CHI,16741200.0,27.0,1.23,3.0
1628381,John Collins,UTA,26580000.0,27.0,2.75,3.0
1628384,OG Anunoby,NYK,36637932.0,27.0,2.69,3.0
1628386,Jarrett Allen,CLE,20000000.0,27.0,2.45,3.0
1628389,Bam Adebayo,MIA,34848340.0,27.0,3.08,3.0
1628392,Isaiah Hartenstein,OKC,30000000.0,27.0,2.42,3.0
1628396,Tony Bradley,IND,600545.0,27.0,0.78,3.0
1628396,Tony Bradley,IND,600545.0,27.0,0.78,3.0
1628396,Tony Bradley,IND,600545.0,27.0,0.78,3.0
1628398,Kyle Kuzma,MIL,24456061.0,29.0,2.08,2.6
1628401,Derrick White,BOS,20071429.0,30.0,2.78,2.4
1628404,Josh Hart,NYK,18144000.0,30.0,2.79,2.4
1628408,PJ Dozier,MIN,1051255.0,28.0,0.21,2.8
1628415,Dillon Brooks,HOU,22255493.0,29.0,2.09,2.6
1628418,Thomas Bryant,IND,2087519.0,27.0,1.18,3.0
1628420,Monté Morris,PHX,,30.0,0.85,2.4
1628427,Vlatko Čančar,DEN,,28.0,0.41,2.8
1628436,Luke Kornet,BOS,2087519.0,29.0,1.36,2.6
1628449,Chris Boucher,TOR,10810000.0,32.0,1.64,2.0
1628464,Daniel Theis,NOP,2087519.0,33.0,1.0,1.7999999999999998
1628467,Maxi Kleber,LAL,11000000.0,33.0,0.69,1.7999999999999998
1628470,Torrey Craig,BOS,3625162.0,34.0,0.88,1.5999999999999999
1628470,Torrey Craig,BOS,3625162.0,34.0,0.88,1.5999999999999999
1628960,Grayson Allen,PHX,15625000.0,29.0,1.67,2.6
1628963,Marvin Bagley III,MEM,12500000.0,26.0,0.74,2.8
1628964,Mo Bamba,NOP,2207491.0,27.0,1.0,3.0
1628964,Mo Bamba,NOP,2207491.0,27.0,1.0,3.0
1628969,Mikal Bridges,NYK,23300000.0,28.0,2.47,2.8
1628970,Miles Bridges,CHA,27173913.0,27.0,3.11,3.0
1628971,Bruce Brown,NOP,23000000.0,28.0,1.4,2.8
1628973,Jalen Brunson,NYK,24960001.0,28.0,3.45,2.8
1628975,Jevon Carter,CHI,6500000.0,29.0,0.74,2.6
1628976,Wendell Carter Jr.,ORL,11950000.0,26.0,1.8,2.8
1628978,Donte DiVincenzo,MIN,11445000.0,28.0,2.01,2.8
1628981,Bruno Fernando,TOR,1115128.0,26.0,0.66,2.8
1628983,Shai Gilgeous-Alexander,OKC,35859950.0,26.0,4.41,2.8
1628988,Aaron Holiday,HOU,4668000.0,28.0,0.86,2.8
1628989,Kevin Huerter,CHI,16830357.0,26.0,1.64,2.8
1628991,Jaren Jackson Jr.,MEM,25257798.0,25.0,3.03,2.6
1628995,Kevin Knox II,GSW,,25.0,0.5,2.6
1628997,Caleb Martin,DAL,9186594.0,29.0,1.38,2.6
1628998,Cody Martin,PHX,8120000.0,29.0,1.35,2.6
1629001,De'Anthony Melton,BKN,12822000.0,27.0,1.67,3.0
1629003,Shake Milton,LAL,2875000.0,28.0,0.89,2.8
1629004,Svi Mykhailiuk,UTA,3500000.0,28.0,1.29,2.8
1629006,Josh Okogie,CHA,8250000.0,26.0,1.16,2.8
1629008,Michael Porter Jr.,DEN,35859950.0,27.0,2.81,3.0
1629011,Mitchell Robinson,NYK,14318182.0,27.0,1.26,3.0
1629012,Collin Sexton,UTA,18350000.0,26.0,2.28,2.8
1629013,Landry Shamet,NYK,1343690.0,28.0,0.83,2.8
1629014,Anfernee Simons,POR,25892857.0,26.0,2.69,2.8
1629018,Gary Trent Jr.,MIL,2087519.0,26.0,1.69,2.8
1629020,Jarred Vanderbilt,LAL,10714286.0,26.0,1.03,2.8
1629021,Moritz Wagner,ORL,11000000.0,28.0,1.81,2.8
1629022,Lonnie Walker IV,PHI,780932.0,26.0,1.86,2.8
1629023,P.J. Washington,DAL,15500000.0,26.0,2.44,2.8
1629026,Kenrich Williams,OKC,6669000.0,30.0,1.17,2.4
1629027,Trae Young,ATL,43031940.0,26.0,3.38,2.8
1629028,Deandre Ayton,POR,34005126.0,26.0,2.48,2.8
1629029,Luka Dončić,LAL,,26.0,4.26,2.8
1629048,Goga Bitadze,ORL,9057971.0,25.0,1.59,2.6
1629052,Oshae Brissett,PHI,119972.0,27.0,1.27,3.0
1629056,Terence Davis,SAC,64301.0,28.0,0.2,2.8
1629057,Robert Williams III,POR,,27.0,1.35,3.0
1629060,Rui Hachimura,LAL,17000000.0,27.0,2.08,3.0
1629098,Jack McVeigh,HOU,,29.0,0.25,2.6
1629111,Jock Landale,HOU,8000000.0,29.0,0.88,2.6
1629130,Duncan Robinson,MIA,19406000.0,31.0,1.65,2.2
1629162,Jordan McLaughlin,SAS,2087519.0,29.0,0.4,2.6
1629216,Gabe Vincent,LAL,11000000.0,29.0,1.03,2.6
1629234,Drew Eubanks,LAC,5000000.0,28.0,0.86,2.8
1629312,Haywood Highsmith,MIA,5200000.0,28.0,1.26,2.8
1629599,Amir Coffey,LAC,3938271.0,28.0,1.39,2.8
1629610,DaQuan Jeffries,CHA,2425404.0,27.0,1.16,3.0
1629611,Terance Mann,ATL,11423077.0,28.0,1.29,2.8
1629614,Andrew Nembhard,IND,2019699.0,25.0,1.71,2.6
1629618,Jalen Pickett,DEN,1891857.0,25.0,0.8,2.6
1629622,Max Strus,CLE,15212068.0,29.0,1.77,2.6
1629626,Bol Bol,PHX,2087519.0,25.0,1.1,2.6
1629627,Zion Williamson,NOP,36725670.0,24.0,3.33,2.4
1629628,RJ Barrett,TOR,25794643.0,25.0,2.99,2.6
1629629,Cam Reddish,LAL,2463946.0,25.0,0.68,2.6
1629630,Ja Morant,MEM,36725670.0,25.0,3.04,2.6
1629631,De'Andre Hunter,CLE,21696429.0,27.0,2.33,3.0
1629632,Coby White,CHI,12000000.0,25.0,2.78,2.6
1629634,Brandon Clarke,MEM,12500000.0,28.0,1.46,2.8
1629636,Darius Garland,CLE,36725670.0,25.0,2.93,2.6
1629637,Jaxson Hayes,LAL,2463946.0,25.0,1.25,2.6
1629638,Nickeil Alexander-Walker,MIN,4312500.0,26.0,1.56,2.8
1629639,Tyler Herro,MIA,29000000.0,25.0,3.38,2.6
1629640,Keldon Johnson,SAS,19000000.0,25.0,1.91,2.6
1629643,Chuma Okeke,CLE,355687.0,26.0,1.44,2.8
1629643,Chuma Okeke,CLE,355687.0,26.0,1.44,2.8
1629643,Chuma Okeke,CLE,355687.0,26.0,1.44,2.8
1629645,Kevin Porter Jr.,MIL,3366937.0,25.0,1.58,2.6
1629645,Kevin Porter Jr.,MIL,3366937.0,25.0,1.58,2.6
1629646,Charles Bassey,SAS,2087519.0,24.0,0.91,2.4
1629650,Moses Brown,DAL,426632.0,25.0,0.86,2.6
1629650,Moses Brown,DAL,426632.0,25.0,0.86,2.6
1629651,Nic Claxton,BKN,27556817.0,26.0,1.99,2.8
1629652,Luguentz Dort,OKC,16500000.0,26.0,1.84,2.8
1629655,Daniel Gafford,DAL,13394160.0,26.0,2.03,2.8
1629656,Quentin Grimes,PHI,4296682.0,25.0,2.16,2.6
1629659,Talen Horton-Tucker,CHI,2087519.0,24.0,0.95,2.4
1629660,Ty Jerome,CLE,2560975.0,27.0,1.85,3.0
1629661,Cameron Johnson,BKN,22500000.0,29.0,2.72,2.6
1629667,Jalen McDaniels,SAC,4861772.0,27.0,0.06,3.0
1629667,Jalen McDaniels,SAC,4861772.0,27.0,0.06,3.0
1629669,Jaylen Nowell,WAS,446743.0,25.0,1.28,2.6
1629669,Jaylen Nowell,WAS,446743.0,25.0,1.28,2.6
1629673,Jordan Poole,WAS,29651786.0,26.0,2.72,2.8
1629674,Neemias Queta,BOS,2162606.0,25.0,0.93,2.6
1629675,Naz Reid,MIN,13986432.0,25.0,2.35,2.6
1629680,Matisse Thybulle,POR,11025000.0,28.0,1.53,2.8
1629684,Grant Williams,CHA,13025250.0,26.0,1.78,2.8
1629723,John Konchar,MEM,6165000.0,29.0,0.75,2.6
1629726,Garrison Mathews,ATL,2230253.0,28.0,1.2,2.8
1629731,Dean Wade,CLE,6166667.0,28.0,1.25,2.8
1629750,Javonte Green,CLE,2328350.0,31.0,1.03,2.2
1629750,Javonte Green,CLE,2328350.0,31.0,1.03,2.2
1630162,Anthony Edwards,MIN,42176400.0,23.0,3.73,2.2
1630163,LaMelo Ball,CHA,35147000.0,23.0,3.55,2.2
1630164,James Wiseman,IND,2237691.0,24.0,0.7,2.4
1630165,Killian Hayes,BKN,119972.0,23.0,1.69,2.2
1630166,Deni Avdija,POR,15625000.0,24.0,2.59,2.4
1630167,Obi Toppin,IND,12975000.0,27.0,1.67,3.0
1630168,Onyeka Okongwu,ATL,14000000.0,24.0,2.46,2.4
1630169,Tyrese Haliburton,IND,42176400.0,25.0,3.32,2.6
1630170,Devin Vassell,SAS,29347826.0,24.0,2.47,2.4
1630171,Isaac Okoro,CLE,10185186.0,24.0,1.08,2.4
1630172,Patrick Williams,CHI,18000000.0,23.0,1.48,2.2
1630173,Precious Achiuwa,NYK,6000000.0,25.0,1.33,2.6
